Name,Symbol,Industry Group,Base Rev FY24 (Cr),End Rev FY26 (Cr),2Y CAGR (%),CAGR Status,TTM Rev (Cr),TTM vs End FY (%),Current Price (INR),Price 2Y Ago (INR),% Away,ROCE (%),Error
Bajaj Finserv,BAJAJFINSV.NS,Finance,110382.0,150530.0,16.8,PASS,150530.0,0.0,1909.4,1649.44,15.8,10.6,
Bajaj Holdings,BAJAJHLDNG.NS,Finance,7665.33,8729.18,6.7,FAIL,1123.85,-87.1,10970.0,9379.02,17.0,,
Balkrishna Inds,BALKRISIND.NS,Auto Components,9304.37,10729.61,7.4,FAIL,10642.64,-0.8,2306.9,3281.81,-29.7,19.9,
Bajaj Housing,BAJAJHFL.NS,Finance,7329.46,10838.7,21.6,PASS,4076.47,-62.4,86.52,165.0,-47.6,3.3,
Bank of India,BANKINDIA.NS,Banks,61073.0,75613.0,11.3,FAIL,77244.0,2.2,137.22,117.56,16.7,5.93,
Balrampur Chini,BALRAMCHIN.NS,Agricultural Food & other Products,5594.0,6271.0,5.9,FAIL,6271.0,0.0,596.3,474.46,25.7,9.28,
Bank of Baroda,BANKBARODA.NS,Banks,67901.27,74870.21,5.0,FAIL,66297.9,-11.4,241.65,237.52,1.7,,
Bank of Maha,MAHABANK.NS,Banks,11988.24,15801.91,14.8,FAIL,14109.54,-10.7,79.26,63.01,25.8,,
Bandhan Bank,BANDHANBNK.NS,Banks,12485.94,13563.71,4.2,FAIL,9938.22,-26.7,172.72,214.46,-19.5,,
Berger Paints,BERGEPAINT.NS,Consumer Durables,11199.0,11880.0,3.0,FAIL,11880.0,0.0,521.35,547.69,-4.8,21.6,
Bata India,BATAINDIA.NS,Consumer Durables,3452.0,3489.0,0.5,FAIL,3516.0,0.8,700.05,1572.83,-55.5,12.7,
Bayer Crop Sci.,BAYERCROP.NS,Fertilizers & Agrochemicals,4892.1,5498.0,6.0,FAIL,5675.0,3.2,4226.5,6639.59,-36.3,20.1,
BEML Ltd,BEML.NS,"Agricultural, Commercial & Construction Vehicles",3965.38,4350.53,4.7,FAIL,4350.53,-0.0,1756.4,2252.85,-22.0,7.9,
Belrise Industri,BELRISE.NS,Auto Components,7309.53,9509.1,14.1,FAIL,9509.1,0.0,232.79,97.04,139.9,20.6,
Bharti Airtel,BHARTIARTL.NS,Telecom - Services,149982.4,210972.8,18.6,PASS,210972.8,-0.0,1956.8,1452.7,34.7,30.6,
Bharat Forge,BHARATFORG.NS,Auto Components,15042.94,16223.81,3.9,FAIL,16811.65,3.6,2164.7,1714.34,26.3,23.3,
Bharat Electron,BEL.NS,Aerospace & Defense,19905.49,27610.11,17.8,PASS,28717.35,4.0,384.9,311.41,23.6,34.1,
Bharti Hexacom,BHARTIHEXA.NS,Telecom - Services,7088.8,9353.8,14.9,FAIL,9353.8,0.0,1654.0,1127.16,46.7,38.0,
Bharat Dynamics,BDL.NS,Aerospace & Defense,2358.86,2415.36,1.2,FAIL,2441.79,1.1,1245.9,1448.27,-14.0,8.2,
BLS Internat.,BLS.NS,Leisure Services,1677.0,2998.0,33.7,PASS,2998.0,0.0,238.75,355.51,-32.8,29.3,
Billionbrains,GROWW.NS,Capital Markets,2794.0,4645.0,28.9,PASS,5242.0,12.9,192.33,131.33,46.4,37.3,
Bikaji Foods,BIKAJI.NS,Food Products,2234.41,2934.74,14.6,FAIL,2993.86,2.0,643.7,712.91,-9.7,23.9,
Birlasoft Ltd,BSOFT.NS,IT - Software,5278.15,5309.96,0.3,FAIL,5404.46,1.8,306.3,652.64,-53.1,20.4,
Biocon,BIOCON.NS,Pharmaceuticals & Biotechnology,14195.8,16779.9,8.7,FAIL,16927.0,0.9,425.35,361.43,17.7,6.8,
Brainbees Solut.,FIRSTCRY.NS,Retailing,6481.0,8548.0,14.8,FAIL,8548.0,0.0,211.93,679.1,-68.8,0.57,
Blue Dart Expres,BLUEDART.NS,Transport Services,5268.0,6141.0,8.0,FAIL,6141.0,0.0,5025.9,8140.27,-38.3,16.6,
Blue Star,BLUESTARCO.NS,Consumer Durables,9685.0,12402.0,13.2,FAIL,12402.0,0.0,1691.4,1707.09,-0.9,21.2,
Bosch,BOSCHLTD.NS,Auto Components,16727.0,20035.0,9.4,FAIL,20035.0,0.0,41550.0,34510.05,20.4,21.5,
Blue Jet Health,BLUEJET.NS,Pharmaceuticals & Biotechnology,710.32,947.32,15.5,PASS,499.0,-47.3,612.45,471.56,29.9,57.3,
Brigade Enterpr.,BRIGADE.NS,Realty,4897.0,5697.0,7.9,FAIL,5697.0,0.0,565.1,940.85,-39.9,10.5,
C D S L,CDSL.NS,Capital Markets,812.0,1145.0,18.7,PASS,1145.0,0.0,1336.4,1229.42,8.7,32.0,
Britannia Inds.,BRITANNIA.NS,Food Products,16769.0,19152.0,6.9,FAIL,19152.0,0.0,5524.5,5636.26,-2.0,56.0,
C P C L,CHENNPETRO.NS,Petroleum Products,66024.0,63640.0,-1.8,FAIL,76197.0,19.7,1238.2,981.87,26.1,35.1,
BSE,BSE.NS,Capital Markets,1568.0,4834.0,75.6,PASS,4834.0,0.0,3530.3,847.24,316.7,58.0,
C.E. Info System,MAPMYINDIA.NS,IT - Software,379.0,474.0,11.8,FAIL,474.0,0.0,1184.75,2371.46,-50.0,19.1,
Cams Services,CAMS.NS,Capital Markets,1137.0,1516.0,15.5,PASS,1516.0,0.0,793.15,876.47,-9.5,47.0,
Canara Bank,CANBK.NS,Banks,110519.0,126371.0,6.9,FAIL,127805.0,1.1,124.28,107.21,15.9,6.52,
Canara HSBC,CANHLIFE.NS,Insurance,,,,,,,,,,,"Not enough data. Need 3 years, got 2: ['FY25', 'FY26']"
Can Fin Homes,CANFINHOME.NS,Finance,1268.27,1646.6,13.9,FAIL,1692.87,2.8,816.3,822.37,-0.7,,
Cartrade Tech,CARTRADE.NS,Retailing,490.0,779.0,26.1,PASS,807.0,3.6,2791.7,867.75,221.7,11.8,
Caplin Point Lab,CAPLIPOINT.NS,Pharmaceuticals & Biotechnology,1467.0,1937.0,14.9,FAIL,2187.0,12.9,2536.3,1564.64,62.1,24.6,
Capri Global,CGCL.NS,Finance,2313.0,4731.0,43.0,PASS,5306.0,12.2,220.8,208.6,5.8,11.7,
Carborundum Uni.,CARBORUNIV.NS,Industrial Products,4702.0,5206.0,5.2,FAIL,5206.0,0.0,1051.0,1708.44,-38.5,10.5,
