Name,BSE Code,NSE Code,ISIN Code,Industry Group
ICICI Pru Life,540133,ICICIPRULI,INE726G01019,Insurance
IDBI Bank,500116,IDBI,INE008A01015,Banks
IDFC First Bank,539437,IDFCFIRSTB,INE092T01019,Banks
IFCI,500106,IFCI,INE039A01010,Finance
IIFL Finance,532636,IIFL,INE530B01024,Finance
Indegene,544172,INDGN,INE065X01017,Healthcare Services
India Cements,530005,INDIACEM,INE383A01012,Cement & Cement Products
Indiamart Inter.,542726,INDIAMART,INE933S01016,Retailing
Indian Bank,532814,INDIANB,INE562A01011,Banks
Indian Energy Ex,540750,IEX,INE022Q01020,Capital Markets
Indian Hotels Co,500850,INDHOTEL,INE053A01029,Leisure Services
Indian Renewable,544026,IREDA,INE202E01016,Finance
Indraprastha Gas,532514,IGL,INE203G01027,Gas
Indus Towers,534816,INDUSTOWER,INE121J01017,Telecom - Services
IndusInd Bank,532187,INDUSINDBK,INE095A01012,Banks
Info Edg.(India),532777,NAUKRI,INE663F01032,Retailing
Infosys,500209,INFY,INE009A01021,IT - Software
Inox Wind,539083,INOXWIND,INE066P01011,Electrical Equipment
Intellect Design,538835,INTELLECT,INE306R01017,IT - Software
Interglobe Aviat,539448,INDIGO,INE646L01027,Transport Services
International Gemological Instit,544311,IGIL,INE0Q9301021,Commercial Services & Supplies
Inventurus Knowl,544309,IKS,INE115Q01022,IT - Services
Ipca Labs.,524494,IPCALAB,INE571A01038,Pharmaceuticals & Biotechnology
IRB Infra.Devl.,532947,IRB,INE821I01022,Construction
Ircon Intl.,541956,IRCON,INE962Y01021,Construction
ITC,500875,ITC,INE154A01025,Diversified FMCG
ITC Hotels,544325,ITCHOTELS,INE379A01028,Leisure Services
ITI,523610,ITI,INE248A01017,Telecom -  Equipment & Accessories
J & K Bank,532209,J&KBANK,INE168A01041,Banks
J K Cements,532644,JKCEMENT,INE823G01014,Cement & Cement Products
Jain Resource,544537,JAINREC,INE0YD401026,Diversified Metals
JBM Auto,532605,JBMA,INE927D01051,Auto Components
Jindal Saw,500378,JINDALSAW,INE324A01032,Industrial Products
Jindal Stain.,532508,JSL,INE220G01021,Ferrous Metals
Jindal Steel,532286,JINDALSTEL,INE749A01030,Ferrous Metals
Jio Financial,543940,JIOFIN,INE758E01017,Finance
JK Tyre & Indust,530007,JKTYRE,INE573A01042,Auto Components
JM Financial,523405,JMFINANCIL,INE780C01023,Finance
JP Power Ven.,532627,JPPOWER,INE351F01018,Power
JSW Cement,544480,JSWCEMENT,INE718I01012,Cement & Cement Products
JSW Dulux,500710,JSWDULUX,INE133A01011,Consumer Durables
JSW Energy,533148,JSWENERGY,INE121E01018,Power
JSW Infrast,543994,JSWINFRA,INE880J01026,Transport Infrastructure
JSW Steel,500228,JSWSTEEL,INE019A01038,Ferrous Metals
Jubilant Food.,533155,JUBLFOOD,INE797F01020,Leisure Services
Jubilant Ingrev.,543271,JUBLINGREA,INE0BY001018,Chemicals & Petrochemicals
Jubilant Pharmo,530019,JUBLPHARMA,INE700A01033,Pharmaceuticals & Biotechnology
Jupiter Wagons,533272,JWL,INE209L01016,Industrial Manufacturing
Jyoti CNC Auto.,544081,JYOTICNC,INE980O01024,Industrial Manufacturing
K P R Mill Ltd,532889,KPRMILL,INE930H01031,Textiles & Apparels
Kajaria Ceramics,500233,KAJARIACER,INE217B01036,Consumer Durables
Kalpataru Proj.,522287,KPIL,INE220B01022,Construction
Kalyan Jewellers,543278,KALYANKJIL,INE303R01014,Consumer Durables
Karur Vysya Bank,590003,KARURVYSYA,INE036D01028,Banks
Kaynes Tech,543664,KAYNES,INE918Z01012,Industrial Manufacturing
KEC International,532714,KEC,INE389H01022,Construction
KEI Industries,517569,KEI,INE878B01027,Industrial Products
KFin Technolog.,543720,KFINTECH,INE138Y01010,Capital Markets
